Customer ID,Age,Annual Income,Spending Score
CUST0001,64,64866,88
CUST0002,33,20477,37
CUST0003,66,90445,89
CUST0004,64,94453,91
CUST0005,36,31434,29
CUST0006,23,37904,34
CUST0007,22,141711,12
CUST0008,37,49506,49
CUST0009,52,60226,100
CUST0010,19,134374,44
CUST0011,26,123174,62
CUST0012,22,47399,34
CUST0013,40,56949,60
CUST0014,67,132609,84
CUST0015,62,60943,28
CUST0016,42,149889,24
CUST0017,21,135300,40
CUST0018,45,60992,10
CUST0019,69,76062,54
CUST0020,60,130810,3
CUST0021,30,74178,27
CUST0022,31,55840,90
CUST0023,24,135659,21
CUST0024,52,148051,10
CUST0025,41,41096,4
CUST0026,19,90152,76
CUST0027,22,145399,64
CUST0028,38,113829,39
CUST0029,54,139446,28
CUST0030,62,56917,26
CUST0031,66,22043,1
CUST0032,27,94673,59
CUST0033,29,121029,5
CUST0034,51,144028,8
CUST0035,53,141112,87
CUST0036,57,80569,31
CUST0037,59,95696,57
CUST0038,45,125048,22
CUST0039,20,83021,41
CUST0040,18,69875,32
CUST0041,23,125024,44
CUST0042,29,86871,100
CUST0043,47,111891,89
CUST0044,62,38642,18
CUST0045,48,120830,27
CUST0046,64,29355,9
CUST0047,49,132586,39
CUST0048,59,29328,88
CUST0049,42,26293,96
CUST0050,61,74895,47
CUST0051,25,133647,66
CUST0052,70,68753,39
CUST0053,37,29946,63
CUST0054,21,22439,22
CUST0055,39,139132,76
CUST0056,60,120438,12
CUST0057,64,47172,49
CUST0058,29,107803,51
CUST0059,19,38712,96
CUST0060,62,86786,67
CUST0061,44,125101,11
CUST0062,52,78559,29
CUST0063,47,62514,98
CUST0064,31,107856,13
CUST0065,34,131043,44
CUST0066,28,37262,92
CUST0067,63,103514,82
CUST0068,57,81090,74
CUST0069,44,27433,47
CUST0070,20,64577,30
CUST0071,27,65606,79
CUST0072,70,52960,46
CUST0073,29,54018,32
CUST0074,49,71491,61
CUST0075,62,102750,52
CUST0076,50,101514,84
CUST0077,66,100512,39
CUST0078,66,79081,87
CUST0079,64,20178,30
CUST0080,59,134036,88
CUST0081,52,125487,6
CUST0082,24,111563,80
CUST0083,41,92680,10
CUST0084,38,67263,88
CUST0085,26,133940,64
CUST0086,32,98450,8
CUST0087,29,25382,95
CUST0088,50,67716,57
CUST0089,66,105145,41
CUST0090,57,101953,1
CUST0091,36,112431,69
CUST0092,21,137952,49
CUST0093,33,34701,63
CUST0094,19,49945,60
CUST0095,52,118648,37
CUST0096,49,140180,25
CUST0097,68,136436,96
CUST0098,29,136854,32
CUST0099,69,146300,17
CUST0100,61,47356,14
